sample_id,product,angular_frequency,storage_modulus,loss_modulus,tan_delta,temperature
cheese_rheo_7236086d1bf4,dairy_cheddar,25.2383,791072,289728.0,0.366247,25
cheese_rheo_efba4e3bce95,dairy_cheddar,6.33961,859269,287241.0,0.334285,25
cheese_rheo_caf5fd7a2800,plant_feta,0.100476,132766,101088.0,0.761398,25
cheese_rheo_887f199562ea,dairy_cheddar,6.33961,501826,211894.0,0.422247,25
cheese_rheo_ffe0014387aa,plant_cheddar,5.01186,326537,66131.8,0.202525,25
cheese_rheo_4746b314b0d2,dairy_cheddar,0.317731,490115,172511.0,0.35198,25
cheese_rheo_4746b314b0d2,dairy_cheddar,40.0,771305,332959.0,0.431683,25
cheese_rheo_480b1108b018,dairy_feta,0.503572,914603,269668.0,0.294847,25
cheese_rheo_882c53b17985,dairy_mozzarella,0.100476,149792,56708.8,0.378582,25
cheese_rheo_ffe0014387aa,plant_cheddar,19.9526,350345,63228.2,0.180474,25
cheese_rheo_8f07b1ed90e6,plant_mozzarella,25.2383,496386,78620.6,0.158386,25
cheese_rheo_ea0a03a926f1,plant_cheddar,0.4,439080,32470.0,0.0739501,25
cheese_rheo_882c53b17985,dairy_mozzarella,31.7731,360304,128155.0,0.355685,25
cheese_rheo_b383986cc83e,plant_cheddar,0.317731,431614,35036.6,0.0811758,25
cheese_rheo_3d3025531656,dairy_mozzarella,2.00475,295482,93257.3,0.315611,25
cheese_rheo_ba444256711d,dairy_feta,0.317731,1122950,322614.0,0.287292,25
cheese_rheo_f999dd55b81a,plant_mozzarella,0.126491,565918,79362.5,0.140237,25
cheese_rheo_0ce8e929e697,dairy_mozzarella,2.52384,228772,73615.7,0.321787,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,1.26491,238371,75998.3,0.318824,25
cheese_rheo_887f199562ea,dairy_cheddar,7.98103,511700,219024.0,0.428031,25
cheese_rheo_9bbee09cb4be,dairy_mozzarella,0.100476,150690,55744.6,0.369929,25
cheese_rheo_2d5fd8e35091,dairy_feta,0.798103,1031370,293701.0,0.284767,25
cheese_rheo_e594cc002175,plant_mozzarella,2.00475,380285,74681.6,0.196383,25
cheese_rheo_4e15653d79b9,plant_cheddar,0.1,426597,33639.1,0.0788546,25
cheese_rheo_0ce8e929e697,dairy_mozzarella,3.17733,236836,76093.4,0.321291,25
cheese_rheo_ffe0014387aa,plant_cheddar,0.15849,302978,68483.5,0.226035,25
cheese_rheo_efba4e3bce95,dairy_cheddar,1.26491,699418,235037.0,0.336046,25
cheese_rheo_1bc1642eb7eb,plant_feta,40.0,419449,176077.0,0.419782,25
cheese_rheo_6c53f905caa7,plant_feta,40.0,477097,371283.0,0.778212,25
cheese_rheo_c8b760392806,plant_feta,0.159243,270399,71076.7,0.262858,25
cheese_rheo_80ff05481ad9,plant_feta,2.52384,378646,357450.0,0.944023,25
cheese_rheo_80ff05481ad9,plant_feta,0.252383,286240,264541.0,0.924193,25
cheese_rheo_e594cc002175,plant_mozzarella,0.252383,356763,70104.0,0.1965,25
cheese_rheo_887f199562ea,dairy_cheddar,2.00475,454619,182860.0,0.402226,25
