participant_id,product,presentation_order,appearance,flavor,texture,shrimp_intensity,firmness,chewiness,overall,purchase,cata_shrimplike,cata_fishy,cata_salty,cata_savory,cata_bland,cata_firm,cata_tender,cata_chewy,cata_rubbery,cata_juicy,cata_naturallooking,cata_appealing_color,cata_fresh_aroma,cata_offflavor,cata_offodor
coast_6f27f8a69503,plant_based,2,7,9,2,2.0,1.0,2.0,6,2.0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
coast_01ac7cc6d356,conventional,2,9,7,2,3.0,3.0,3.0,6,3.0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
coast_a958df61cf0e,plant_based,1,8,8,8,2.0,3.0,3.0,8,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
coast_5e7ec79124fd,conventional,2,7,2,7,3.0,2.0,2.0,7,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
coast_b7d2f6b22fbe,plant_based,1,9,6,2,2.0,2.0,2.0,6,2.0,1,1,0,1,0,1,0,0,0,1,1,1,0,1,1
coast_125122ef0311,plant_based,1,9,9,6,3.0,3.0,2.0,7,3.0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
coast_80ca07256912,plant_based,2,9,6,7,3.0,3.0,3.0,6,2.0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
coast_0e93f6538e55,plant_based,2,4,6,8,3.0,3.0,3.0,6,2.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
coast_0db4da765be8,conventional,2,6,6,6,4.0,3.0,3.0,6,3.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0
coast_d802b9e4f662,conventional,1,7,6,2,3.0,2.0,3.0,6,2.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
coast_53435ec1748f,conventional,1,9,9,9,3.0,3.0,3.0,9,3.0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1
coast_a09f37ff2845,conventional,1,8,8,9,3.0,3.0,3.0,8,2.0,0,1,1,0,0,1,1,0,1,0,1,1,0,0,1
coast_b50204ec238b,conventional,2,7,6,3,3.0,2.0,1.0,2,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
coast_e89672ed9c62,conventional,2,6,6,7,,3.0,3.0,6,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
coast_0e93f6538e55,conventional,1,7,2,7,3.0,2.0,2.0,7,3.0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
coast_c8e50ea7dd9f,conventional,2,9,7,7,4.0,3.0,3.0,2,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
coast_66d3c0b07948,plant_based,2,2,3,4,4.0,2.0,2.0,3,4.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
coast_b7f97510e7b4,conventional,2,3,3,2,4.0,2.0,3.0,4,4.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
coast_b142f6ed1264,plant_based,1,6,7,6,2.0,2.0,,6,3.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
coast_66d876751708,plant_based,2,9,6,2,3.0,3.0,3.0,3,3.0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0
coast_ff5d52428260,conventional,1,9,7,2,2.0,3.0,4.0,7,3.0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
coast_70dca0739cf8,plant_based,1,6,7,2,2.0,3.0,2.0,7,2.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
coast_1bc3649b66b1,plant_based,2,7,7,7,3.0,2.0,2.0,7,2.0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0
coast_a4a2e64bf473,conventional,1,7,7,6,3.0,2.0,4.0,7,2.0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0
coast_3e81bac29756,conventional,2,3,3,3,3.0,4.0,4.0,4,4.0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
coast_292048dc8b87,conventional,2,6,6,6,2.0,2.0,3.0,7,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
coast_956db94d41e3,conventional,1,9,6,9,3.0,3.0,3.0,9,2.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
coast_6060fb2dd7c9,conventional,1,9,9,8,3.0,3.0,3.0,9,2.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1
coast_afc47a4e7cd8,plant_based,2,2,9,7,4.0,2.0,1.0,7,4.0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
coast_a721ddb61fc8,conventional,1,8,8,8,3.0,3.0,3.0,8,1.0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1
coast_17ac42aa203d,plant_based,2,9,6,6,3.0,3.0,3.0,6,2.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
coast_802afa6a129f,plant_based,2,9,9,6,2.0,2.0,2.0,9,2.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
coast_2c2cda3fb0a0,plant_based,2,4,3,3,4.0,2.0,1.0,4,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
coast_eae9bd29404a,conventional,1,9,6,6,3.0,3.0,,6,2.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
coast_758d10479eb0,conventional,2,7,5,2,2.0,4.0,1.0,3,4.0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0
coast_fc173ee3b1a3,conventional,1,8,2,9,2.0,2.0,1.0,9,1.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
coast_d9f099c72047,plant_based,2,4,4,5,3.0,2.0,1.0,5,5.0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
coast_d9f099c72047,conventional,1,9,9,7,2.0,3.0,3.0,2,3.0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0
coast_024ce1d25213,plant_based,1,7,6,6,2.0,2.0,3.0,6,3.0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1
coast_4094a012cb5c,plant_based,2,6,3,5,3.0,1.0,1.0,3,5.0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1
coast_d802b9e4f662,plant_based,2,6,6,7,3.0,3.0,2.0,2,3.0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
coast_03d4dd654634,conventional,2,7,9,9,2.0,3.0,3.0,9,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
coast_1dc3ac461890,plant_based,2,6,7,2,3.0,1.0,3.0,2,4.0,1,0,0,0,1,0,1,1,0,1,1,0,0,0,0
coast_3050258dff71,conventional,2,9,6,6,3.0,4.0,3.0,6,2.0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0
coast_54483da576ef,conventional,2,9,6,6,3.0,3.0,3.0,9,3.0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0
coast_5de77f430179,plant_based,1,2,2,7,3.0,2.0,3.0,2,3.0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
coast_c7ba2a19a730,conventional,2,3,7,3,3.0,1.0,3.0,7,4.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
coast_f62bcfd42f7b,conventional,2,6,2,6,2.0,2.0,3.0,7,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
coast_3a15c20bcff5,conventional,2,6,7,7,4.0,3.0,3.0,6,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
coast_250f7b7dc2a5,plant_based,2,2,2,2,3.0,2.0,2.0,2,4.0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
coast_a69a2132bf48,conventional,1,9,9,9,2.0,3.0,3.0,9,3.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1
coast_fc70aa3b8ff1,plant_based,2,3,2,3,4.0,5.0,3.0,3,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
